,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
0,2023-06-30,000852,中证1000,CSI 1000,002472,双环传动,Zhejiang Shuanghuan Driveline Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.371
1,2023-06-30,000852,中证1000,CSI 1000,002222,福晶科技,Castech Inc.,深圳证券交易所,Shenzhen Stock Exchange,0.142
2,2023-06-30,000852,中证1000,CSI 1000,002242,九阳股份,Joyoung Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.069
3,2023-06-30,000852,中证1000,CSI 1000,002243,力合科创,"SHENZHEN LEAGUER CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.077
4,2023-06-30,000852,中证1000,CSI 1000,600125,铁龙物流,China Railway Tielong Container Logistics Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.083
5,2023-06-30,000852,中证1000,CSI 1000,600163,中闽能源,"ZHONGMIN ENERGY CO., LTD.",上海证券交易所,Shanghai Stock Exchange,0.064
6,2023-06-30,000852,中证1000,CSI 1000,600151,航天机电,Shanghai Aerospace Automobile Electromechanical Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.134
7,2023-06-30,000852,中证1000,CSI 1000,600596,新安股份,Zhe Jiang Xinan Chemical Industrial Group Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.15
8,2023-06-30,000852,中证1000,CSI 1000,600197,伊力特,Xinjiang Yilite Industry Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.115
9,2023-06-30,000852,中证1000,CSI 1000,600223,福瑞达,"Lushang Freda Pharmaceutical Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.078
10,2023-06-30,000852,中证1000,CSI 1000,600682,南京新百,Nanjing Xinjiekou Department Store Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.081
11,2023-06-30,000852,中证1000,CSI 1000,600063,皖维高新,Anhui Wanwei Updated High-Tech Material Industry Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.115
12,2023-06-30,000852,中证1000,CSI 1000,600058,五矿发展,Minmetals Development Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.063
13,2023-06-30,000852,中证1000,CSI 1000,600072,中船科技,"CSSC Science & Technology Co., Ltd",上海证券交易所,Shanghai Stock Exchange,0.187
14,2023-06-30,000852,中证1000,CSI 1000,600057,厦门象屿,"Xiamen Xiangyu Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.148
15,2023-06-30,000852,中证1000,CSI 1000,600313,农发种业,"Zhongnongfa Seed Industry Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.098
16,2023-06-30,000852,中证1000,CSI 1000,600330,天通股份,TDG Holding Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.154
17,2023-06-30,000852,中证1000,CSI 1000,600037,歌华有线,Beijing Gehua CATV Network Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.122
18,2023-06-30,000852,中证1000,CSI 1000,600305,恒顺醋业,"Jiangsu Hengshun Vinegar-Industry Co.,Ltd",上海证券交易所,Shanghai Stock Exchange,0.091
19,2023-06-30,000852,中证1000,CSI 1000,600312,平高电气,Henan Pinggao Electric Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.151
