,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
60,2023-06-30,000300,沪深300,CSI 300,601398,工商银行,Industrial and Commercial Bank of China Ltd,上海证券交易所,Shanghai Stock Exchange,0.894
61,2023-06-30,000300,沪深300,CSI 300,002236,大华股份,Zhejiang Dahua Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.174
62,2023-06-30,000300,沪深300,CSI 300,601111,中国国航,Air China Ltd,上海证券交易所,Shanghai Stock Exchange,0.152
63,2023-06-30,000300,沪深300,CSI 300,002064,华峰化学,"Huafon Chemical Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.072
64,2023-06-30,000300,沪深300,CSI 300,002271,东方雨虹,Beijing Oriental Yuhong Waterproof Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.291
65,2023-06-30,000300,沪深300,CSI 300,002475,立讯精密,"Luxshare Precision Industry Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.857
66,2023-06-30,000300,沪深300,CSI 300,000876,新 希 望,"NEW HOPE LIUHE CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,0.14
67,2023-06-30,000300,沪深300,CSI 300,601088,中国神华,China Shenhua Energy Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.537
68,2023-06-30,000300,沪深300,CSI 300,601766,中国中车,CRRC Corporation Limited,上海证券交易所,Shanghai Stock Exchange,0.418
69,2023-06-30,000300,沪深300,CSI 300,601668,中国建筑,China State Construction Engineering Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.637
70,2023-06-30,000300,沪深300,CSI 300,002304,洋河股份,Jiangsu Yanghe Brewery Joint-Stock Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.419
71,2023-06-30,000300,沪深300,CSI 300,601688,华泰证券,Huatai Securities Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.375
72,2023-06-30,000300,沪深300,CSI 300,601628,中国人寿,China Life Insurance Company Limited,上海证券交易所,Shanghai Stock Exchange,0.308
73,2023-06-30,000300,沪深300,CSI 300,000100,TCL科技,TCL Technology Group Corporation,深圳证券交易所,Shenzhen Stock Exchange,0.313
74,2023-06-30,000300,沪深300,CSI 300,600438,通威股份,Tongwei Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.49
75,2023-06-30,000300,沪深300,CSI 300,601988,中国银行,Bank of China Ltd,上海证券交易所,Shanghai Stock Exchange,0.436
76,2023-06-30,000300,沪深300,CSI 300,601808,中海油服,China Oilfield Services Limited,上海证券交易所,Shanghai Stock Exchange,0.043
77,2023-06-30,000300,沪深300,CSI 300,601288,农业银行,Agricultural Bank of China Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.596
78,2023-06-30,000300,沪深300,CSI 300,000786,北新建材,Beijing New Building Materials Public Ltd Co,深圳证券交易所,Shenzhen Stock Exchange,0.131
79,2023-06-30,000300,沪深300,CSI 300,000723,美锦能源,"Shanxi Meijin Energy Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.104
80,2023-06-30,000300,沪深300,CSI 300,600745,闻泰科技,"Wingtech Technology Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.225
81,2023-06-30,000300,沪深300,CSI 300,002007,华兰生物,Hualan Biological Engineering INC,深圳证券交易所,Shenzhen Stock Exchange,0.13
82,2023-06-30,000300,沪深300,CSI 300,002001,新和成,Zhejiang NHU Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.151
83,2023-06-30,000300,沪深300,CSI 300,002049,紫光国微,"Unigroup Guoxin Microelectronics Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.335
84,2023-06-30,000300,沪深300,CSI 300,601898,中煤能源,China Coal Energy Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.082
85,2023-06-30,000300,沪深300,CSI 300,601117,中国化学,China National Chemical Engineering Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.161
86,2023-06-30,000300,沪深300,CSI 300,601607,上海医药,"Shanghai Pharmaceuticals Holding Co.,Ltd",上海证券交易所,Shanghai Stock Exchange,0.132
87,2023-06-30,000300,沪深300,CSI 300,601919,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.317
88,2023-06-30,000300,沪深300,CSI 300,300122,智飞生物,Chongqing Zhifei Biological Products Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.281
89,2023-06-30,000300,沪深300,CSI 300,300124,汇川技术,Shenzhen Inovance Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.633
90,2023-06-30,000300,沪深300,CSI 300,600018,上港集团,Shanghai International Port (Group) Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.078
91,2023-06-30,000300,沪深300,CSI 300,600183,生益科技,"Shengyi Technology Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.088
92,2023-06-30,000300,沪深300,CSI 300,600763,通策医疗,TOPCHOICE MEDICAL CORPORATION,上海证券交易所,Shanghai Stock Exchange,0.115
93,2023-06-30,000300,沪深300,CSI 300,600383,金地集团,Gemdale Corporation,上海证券交易所,Shanghai Stock Exchange,0.121
94,2023-06-30,000300,沪深300,CSI 300,600588,用友网络,"Yonyou Network Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.223
95,2023-06-30,000300,沪深300,CSI 300,600019,宝钢股份,Baoshan Iron &Steel Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.265
96,2023-06-30,000300,沪深300,CSI 300,600016,民生银行,China Minsheng Banking Corp Ltd,上海证券交易所,Shanghai Stock Exchange,0.493
97,2023-06-30,000300,沪深300,CSI 300,600009,上海机场,Shanghai International Airport Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.299
