,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
453,2023-06-30,000906,中证800,CSI 800,300257,开山股份,Zhejiang Kaishan Compressor Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.023
454,2023-06-30,000906,中证800,CSI 800,300223,北京君正,Ingenic Semiconductor Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.083
455,2023-06-30,000906,中证800,CSI 800,002600,领益智造,LINGYI iTECH (GUANGDONG) COMPANY,深圳证券交易所,Shenzhen Stock Exchange,0.076
456,2023-06-30,000906,中证800,CSI 800,002601,龙佰集团,"LB Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.092
457,2023-06-30,000906,中证800,CSI 800,601216,君正集团,"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.054
458,2023-06-30,000906,中证800,CSI 800,601992,金隅集团,BBMG Corporation,上海证券交易所,Shanghai Stock Exchange,0.035
459,2023-06-30,000906,中证800,CSI 800,002563,森马服饰,Zhejiang Semir Garment Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.02
460,2023-06-30,000906,中证800,CSI 800,002568,百润股份,"SHANGHAI BAIRUN INVESTMENT HOLDING GROUP CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.074
461,2023-06-30,000906,中证800,CSI 800,000591,太阳能,"CECEP Solar Energy Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.072
462,2023-06-30,000906,中证800,CSI 800,000596,古井贡酒,Anhui Gujing Distillery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.157
463,2023-06-30,000906,中证800,CSI 800,000598,兴蓉环境,"Chengdu Xingrong Environment Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.038
464,2023-06-30,000906,中证800,CSI 800,000617,中油资本,CNPC Capital Company Limited,深圳证券交易所,Shenzhen Stock Exchange,0.071
465,2023-06-30,000906,中证800,CSI 800,000623,吉林敖东,"Jilin Aodong Pharmaceutical Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.058
466,2023-06-30,000906,中证800,CSI 800,000630,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.083
467,2023-06-30,000906,中证800,CSI 800,002670,国盛金控,Guosheng Financial Holding Inc.,深圳证券交易所,Shenzhen Stock Exchange,0.04
468,2023-06-30,000906,中证800,CSI 800,300308,中际旭创,"ZHONGJI INNOLIGHT CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.369
