,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
0,2023-06-30,000905,中证500,CSI 500,002407,多氟多,Do-Fluoride Chemicals Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.313
1,2023-06-30,000905,中证500,CSI 500,002408,齐翔腾达,Zibo Qixiang Tengda Chemical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.16
2,2023-06-30,000905,中证500,CSI 500,300012,华测检测,"CENTRE TESTING INTERNATIONAL GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.483
3,2023-06-30,000905,中证500,CSI 500,300017,网宿科技,"Wangsu Science and Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.255
4,2023-06-30,000905,中证500,CSI 500,002500,山西证券,Shanxi Securities Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.177
5,2023-06-30,000905,中证500,CSI 500,600131,国网信通,"State Grid Information&Communication Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.143
6,2023-06-30,000905,中证500,CSI 500,600157,永泰能源,"WINTIME ENERGY GROUP CO.,LTD.",上海证券交易所,Shanghai Stock Exchange,0.465
7,2023-06-30,000905,中证500,CSI 500,600166,福田汽车,Beiqi Foton Motor Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.24
8,2023-06-30,000905,中证500,CSI 500,600153,建发股份,Xiamen C&D Inc,上海证券交易所,Shanghai Stock Exchange,0.241
9,2023-06-30,000905,中证500,CSI 500,600161,天坛生物,Beijing Tiantan Biological Products Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.329
10,2023-06-30,000905,中证500,CSI 500,600170,上海建工,Shanghai Construction Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.246
11,2023-06-30,000905,中证500,CSI 500,600160,巨化股份,Zhejiang Ju Hua Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.274
12,2023-06-30,000905,中证500,CSI 500,600259,广晟有色,"Rising Nonferrous Metals Share Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.107
13,2023-06-30,000905,中证500,CSI 500,600416,湘电股份,Xiangtan Electric Manufacturing Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.186
14,2023-06-30,000905,中证500,CSI 500,600377,宁沪高速,Jiangsu Expressway Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.072
15,2023-06-30,000905,中证500,CSI 500,600141,兴发集团,Hubei Xingfa Chemicals Group Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.255
16,2023-06-30,000905,中证500,CSI 500,600208,新湖中宝,Xinhu Zhongbao Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.155
17,2023-06-30,000905,中证500,CSI 500,600839,四川长虹,Sichuan Changhong Electric Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.275
18,2023-06-30,000905,中证500,CSI 500,600848,上海临港,Shanghai Lingang Holdings Corporation Limited,上海证券交易所,Shanghai Stock Exchange,0.168
19,2023-06-30,000905,中证500,CSI 500,600859,王府井,"Wangfujing Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.232
20,2023-06-30,000905,中证500,CSI 500,600863,内蒙华电,Inner Mongolia Mengdian Huaneng Thermal Power Corp Ltd,上海证券交易所,Shanghai Stock Exchange,0.199
21,2023-06-30,000905,中证500,CSI 500,600871,石化油服,Sinopec Oilfield Service Corporation,上海证券交易所,Shanghai Stock Exchange,0.119
22,2023-06-30,000905,中证500,CSI 500,600873,梅花生物,"Meihua Holdings Group Co., Ltd",上海证券交易所,Shanghai Stock Exchange,0.271
23,2023-06-30,000905,中证500,CSI 500,600298,安琪酵母,Angel Yeast Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.324
24,2023-06-30,000905,中证500,CSI 500,600315,上海家化,Shanghai Jahwa United Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.145
25,2023-06-30,000905,中证500,CSI 500,600556,天下秀,"Inmyshow Digital Technology (Group) Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.113
26,2023-06-30,000905,中证500,CSI 500,600195,中牧股份,China Animal Husbandry Industry Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.088
27,2023-06-30,000905,中证500,CSI 500,600167,联美控股,"Luenmei Holding Co.,Ltd",上海证券交易所,Shanghai Stock Exchange,0.094
28,2023-06-30,000905,中证500,CSI 500,600126,杭钢股份,Hang Zhou Iron & Steel Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.086
29,2023-06-30,000905,中证500,CSI 500,601098,中南传媒,China South Publishing & Media Group Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.123
30,2023-06-30,000905,中证500,CSI 500,300136,信维通信,Shenzhen Sunway Communication Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.286
31,2023-06-30,000905,中证500,CSI 500,600062,华润双鹤,"CHINA RESOURCES DOUBLE-CRANE PHARMACEUTICAL CO.,LTD.",上海证券交易所,Shanghai Stock Exchange,0.107
32,2023-06-30,000905,中证500,CSI 500,600546,山煤国际,"Shanxi Coal International Energy Group Co., Ltd",上海证券交易所,Shanghai Stock Exchange,0.211
33,2023-06-30,000905,中证500,CSI 500,600352,浙江龙盛,Zhejiang Longsheng Group Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.358
34,2023-06-30,000905,中证500,CSI 500,000958,电投产融,"SPIC Industry-Finance Holdings Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.103
35,2023-06-30,000905,中证500,CSI 500,000960,锡业股份,Yunnan Tin Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.226
36,2023-06-30,000905,中证500,CSI 500,000967,盈峰环境,Infore Environment Technology Group Co. Ltd.,深圳证券交易所,Shenzhen Stock Exchange,0.095
37,2023-06-30,000905,中证500,CSI 500,000970,中科三环,Beijing Zhong Ke San Huan High-Tech Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.184
38,2023-06-30,000905,中证500,CSI 500,000537,广宇发展,Tianjin Guangyu Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.096
39,2023-06-30,000905,中证500,CSI 500,000547,航天发展,"Addsino Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.188
40,2023-06-30,000905,中证500,CSI 500,000553,安道麦A,ADAMA Ltd.,深圳证券交易所,Shenzhen Stock Exchange,0.054
41,2023-06-30,000905,中证500,CSI 500,601179,中国西电,China XD Electric Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.163
42,2023-06-30,000905,中证500,CSI 500,002423,中粮资本,"COFCO CAPITAL HOLDINGS CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.109
